epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
45,645.971,0.59227,0.53471,1.15418,0.00889,0,0,0,0,0,0,0,0,0.0011829,0.0011829,0.0011829
46,659.988,0.5888,0.51394,1.11604,0.01021,0,0,0,0,0,0,0,0,0.0011719,0.0011719,0.0011719
47,673.945,0.58302,0.50958,1.14596,0.00938,0,0,0,0,0,0,0,0,0.0011609,0.0011609,0.0011609
48,687.933,0.56776,0.50648,1.12682,0.00883,0,0,0,0,0,0,0,0,0.0011499,0.0011499,0.0011499
49,701.905,0.56818,0.49149,1.14324,0.00819,0,0,0,0,0,0,0,0,0.00113889,0.00113889,0.00113889
50,715.879,0.57651,0.50148,1.1377,0.00894,0,0,0,0,0,0,0,0,0.00112789,0.00112789,0.00112789
51,729.866,0.55788,0.51427,1.14443,0.0101,0,0,0,0,0,0,0,0,0.00111689,0.00111689,0.00111689
52,743.875,0.58292,0.52678,1.15321,0.00902,0,0,0,0,0,0,0,0,0.00110589,0.00110589,0.00110589
53,757.84,0.56128,0.49121,1.13527,0.00771,0,0,0,0,0,0,0,0,0.00109489,0.00109489,0.00109489
54,771.809,0.55396,0.49797,1.11468,0.00908,0,0,0,0,0,0,0,0,0.00108388,0.00108388,0.00108388
55,785.768,0.52769,0.48849,1.12927,0.00663,0,0,0,0,0,0,0,0,0.00107288,0.00107288,0.00107288
56,799.747,0.54524,0.48761,1.15555,0.00841,0,0,0,0,0,0,0,0,0.00106188,0.00106188,0.00106188
57,813.745,0.56866,0.50459,1.16312,0.00923,0,0,0,0,0,0,0,0,0.00105088,0.00105088,0.00105088
58,827.818,0.53086,0.47289,1.12548,0.00738,0,0,0,0,0,0,0,0,0.00103987,0.00103987,0.00103987
59,841.79,0.54126,0.48086,1.13816,0.00834,0,0,0,0,0,0,0,0,0.00102887,0.00102887,0.00102887
60,855.772,0.53027,0.48578,1.14401,0.00707,0,0,0,0,0,0,0,0,0.00101787,0.00101787,0.00101787
61,869.799,0.55182,0.49703,1.14101,0.00884,0,0,0,0,0,0,0,0,0.00100687,0.00100687,0.00100687
62,883.85,0.5345,0.48082,1.12537,0.00839,0,0,0,0,0,0,0,0,0.000995866,0.000995866,0.000995866
63,897.935,0.53457,0.47466,1.13165,0.00793,0,0,0,0,0,0,0,0,0.000984864,0.000984864,0.000984864
64,911.932,0.53574,0.48703,1.12768,0.00708,0,0,0,0,0,0,0,0,0.000973861,0.000973861,0.000973861
65,925.977,0.52427,0.48851,1.12974,0.00796,0,0,0,0,0,0,0,0,0.000962859,0.000962859,0.000962859
66,940.039,0.52986,0.48523,1.10357,0.00566,0,0,0,0,0,0,0,0,0.000951857,0.000951857,0.000951857
67,954.103,0.54949,0.48727,1.1419,0.00877,0,0,0,0,0,0,0,0,0.000940855,0.000940855,0.000940855
68,968.1,0.53979,0.47962,1.14087,0.00752,0,0,0,0,0,0,0,0,0.000929853,0.000929853,0.000929853
69,982.115,0.53531,0.48768,1.1203,0.00858,0,0,0,0,0,0,0,0,0.00091885,0.00091885,0.00091885
70,996.134,0.55049,0.5044,1.16365,0.00703,0,0,0,0,0,0,0,0,0.000907848,0.000907848,0.000907848
71,1010.15,0.55211,0.49274,1.14462,0.00945,0,0,0,0,0,0,0,0,0.000896846,0.000896846,0.000896846
72,1024.25,0.54369,0.48718,1.10628,0.00845,0,0,0,0,0,0,0,0,0.000885844,0.000885844,0.000885844
73,1038.23,0.52435,0.4766,1.11933,0.00703,0,0,0,0,0,0,0,0,0.000874842,0.000874842,0.000874842
74,1052.33,0.52253,0.47693,1.08458,0.00824,0,0,0,0,0,0,0,0,0.000863839,0.000863839,0.000863839
75,1066.34,0.5186,0.47813,1.10891,0.0065,0,0,0,0,0,0,0,0,0.000852837,0.000852837,0.000852837
76,1080.37,0.50544,0.45976,1.11105,0.00841,0,0,0,0,0,0,0,0,0.000841835,0.000841835,0.000841835
77,1094.36,0.51922,0.48635,1.11422,0.0074,0,0,0,0,0,0,0,0,0.000830833,0.000830833,0.000830833
78,1108.37,0.51291,0.46417,1.11082,0.0085,0,0,0,0,0,0,0,0,0.000819831,0.000819831,0.000819831
79,1122.36,0.51547,0.45878,1.13227,0.00637,0,0,0,0,0,0,0,0,0.000808828,0.000808828,0.000808828
80,1136.35,0.51293,0.47107,1.13195,0.0069,0,0,0,0,0,0,0,0,0.000797826,0.000797826,0.000797826
81,1150.34,0.49533,0.45522,1.0926,0.00653,0,0,0,0,0,0,0,0,0.000786824,0.000786824,0.000786824
82,1164.34,0.50753,0.46163,1.1103,0.00903,0,0,0,0,0,0,0,0,0.000775822,0.000775822,0.000775822
83,1178.38,0.50366,0.47217,1.08206,0.00664,0,0,0,0,0,0,0,0,0.00076482,0.00076482,0.00076482
84,1192.39,0.5177,0.46815,1.1148,0.00788,0,0,0,0,0,0,0,0,0.000753817,0.000753817,0.000753817
85,1206.38,0.50016,0.45738,1.09603,0.00612,0,0,0,0,0,0,0,0,0.000742815,0.000742815,0.000742815
86,1220.39,0.51406,0.45882,1.11236,0.00563,0,0,0,0,0,0,0,0,0.000731813,0.000731813,0.000731813
87,1234.37,0.49705,0.45865,1.08952,0.00746,0,0,0,0,0,0,0,0,0.000720811,0.000720811,0.000720811
88,1248.39,0.49457,0.44828,1.09293,0.00608,0,0,0,0,0,0,0,0,0.000709809,0.000709809,0.000709809
