epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,700.373,0.60491,0.50049,0.94701,0,0,0,0,0,0,0,0.000841835,0.000841835,0.000841835
52,714.104,0.57555,0.50366,0.93766,0,0,0,0,0,0,0,0.000825332,0.000825332,0.000825332
53,727.806,0.59161,0.50307,0.93405,0,0,0,0,0,0,0,0.000808828,0.000808828,0.000808828
54,741.518,0.59994,0.51693,0.93887,0,0,0,0,0,0,0,0.000792325,0.000792325,0.000792325
55,755.235,0.59294,0.50478,0.93527,0,0,0,0,0,0,0,0.000775822,0.000775822,0.000775822
56,768.961,0.59749,0.50629,0.93859,0,0,0,0,0,0,0,0.000759318,0.000759318,0.000759318
57,782.66,0.55147,0.47663,0.92832,0,0,0,0,0,0,0,0.000742815,0.000742815,0.000742815
58,796.352,0.56484,0.46995,0.9344,0,0,0,0,0,0,0,0.000726312,0.000726312,0.000726312
59,810.045,0.55074,0.47595,0.9227,0,0,0,0,0,0,0,0.000709809,0.000709809,0.000709809
60,823.77,0.57817,0.49501,0.93348,0,0,0,0,0,0,0,0.000693305,0.000693305,0.000693305
61,837.47,0.55122,0.48294,0.93144,0,0,0,0,0,0,0,0.000676802,0.000676802,0.000676802
62,851.17,0.57131,0.48861,0.93426,0,0,0,0,0,0,0,0.000660299,0.000660299,0.000660299
63,864.903,0.54422,0.45465,0.92411,0,0,0,0,0,0,0,0.000643795,0.000643795,0.000643795
64,878.634,0.53991,0.46365,0.91369,0,0,0,0,0,0,0,0.000627292,0.000627292,0.000627292
65,892.323,0.55195,0.47004,0.92769,0,0,0,0,0,0,0,0.000610789,0.000610789,0.000610789
66,906.02,0.53449,0.45805,0.93299,0,0,0,0,0,0,0,0.000594286,0.000594286,0.000594286
67,919.738,0.52775,0.44706,0.91965,0,0,0,0,0,0,0,0.000577782,0.000577782,0.000577782
68,933.492,0.55474,0.4708,0.92326,0,0,0,0,0,0,0,0.000561279,0.000561279,0.000561279
69,947.219,0.53256,0.4571,0.91693,0,0,0,0,0,0,0,0.000544776,0.000544776,0.000544776
70,960.943,0.51274,0.44331,0.91366,0,0,0,0,0,0,0,0.000528272,0.000528272,0.000528272
71,974.659,0.51586,0.43643,0.91171,0,0,0,0,0,0,0,0.000511769,0.000511769,0.000511769
72,988.394,0.52967,0.45394,0.92086,0,0,0,0,0,0,0,0.000495266,0.000495266,0.000495266
